vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code,ablation_variant
V001,cma,20.09,1,1,147.35,32.17,29.53,7.01,27.49,80.51,28.96,19.51,1,emergency,<5_years,low,0,1,Full GDT
V001,control,25.12,1,1,179.05,38.34,46.9,7.55,41.63,71.26,44.55,18.16,2,emergency,<5_years,low,0,0,Full GDT
V001,bm25,22.49,1,1,166.77,37.19,37.54,9.49,43.7,69.83,36.65,25.94,3,emergency,<5_years,low,0,0,Full GDT
V001,gdt,19.53,1,1,121.9,24.17,21.61,2.55,14.11,75.32,31.4,0.0,4,emergency,<5_years,low,0,1,Full GDT
V002,bm25,89.29,1,4,200.7,52.43,71.62,19.05,64.69,55.67,63.47,40.1,1,internal_medicine,<5_years,high,2,0,Full GDT
V002,cma,89.42,1,4,138.79,46.21,57.42,9.74,56.47,62.39,58.01,33.24,2,internal_medicine,<5_years,high,2,1,Full GDT
V002,control,96.71,1,4,192.82,55.4,73.26,18.91,70.24,59.92,69.29,40.79,3,internal_medicine,<5_years,high,2,0,Full GDT
V002,gdt,76.82,1,4,123.97,41.87,49.58,12.15,52.63,62.23,47.73,26.94,4,internal_medicine,<5_years,high,2,1,Full GDT
V003,cma,55.63,1,3,145.02,39.02,48.37,11.62,39.77,71.94,39.69,22.71,1,critical_care,>=5_years,low,0,1,Full GDT
V003,gdt,63.87,1,3,130.29,38.82,42.79,12.64,41.12,66.88,44.03,25.43,2,critical_care,>=5_years,low,0,1,Full GDT
V003,control,66.84,1,3,188.23,48.91,66.95,12.59,59.62,64.8,57.1,32.4,3,critical_care,>=5_years,low,0,0,Full GDT
V003,bm25,66.86,1,3,176.28,50.73,69.28,17.76,57.79,65.73,57.05,36.78,4,critical_care,>=5_years,low,0,0,Full GDT
V004,control,47.93,1,2,163.37,46.31,55.75,16.24,46.36,68.8,56.28,34.46,1,emergency,<5_years,low,0,0,Full GDT
V004,gdt,36.88,1,2,127.89,34.62,40.49,11.28,26.41,80.03,30.08,19.39,2,emergency,<5_years,low,0,1,Full GDT
V004,bm25,45.78,1,2,203.43,44.71,48.99,17.34,47.83,66.67,54.41,33.02,3,emergency,<5_years,low,0,0,Full GDT
V004,cma,40.59,1,2,127.96,36.84,40.9,11.41,34.36,77.89,42.72,13.75,4,emergency,<5_years,low,0,1,Full GDT
V005,cma,19.46,1,1,154.74,30.71,34.65,3.99,23.79,80.84,35.48,5.49,1,critical_care,<5_years,low,0,1,Full GDT
V005,control,22.54,1,1,168.4,39.59,37.69,17.78,35.17,75.34,41.68,29.87,2,critical_care,<5_years,low,0,0,Full GDT
V005,bm25,23.36,1,1,210.69,39.28,43.09,10.26,37.78,76.41,41.78,26.37,3,critical_care,<5_years,low,0,0,Full GDT
V005,gdt,22.69,1,1,104.88,29.92,28.23,11.54,24.69,80.44,26.2,8.44,4,critical_care,<5_years,low,0,1,Full GDT
V006,control,72.01,1,3,173.61,48.53,60.06,16.45,56.12,66.49,58.75,33.34,1,internal_medicine,>=5_years,low,1,0,Full GDT
V006,bm25,60.57,1,3,192.8,46.94,57.79,13.09,53.28,61.92,58.72,36.83,2,internal_medicine,>=5_years,low,1,0,Full GDT
V006,gdt,54.26,1,3,117.67,40.79,46.3,14.07,46.09,73.85,40.34,24.11,3,internal_medicine,>=5_years,low,1,1,Full GDT
V006,cma,62.43,1,3,132.81,41.94,48.21,13.47,44.24,68.17,49.75,27.81,4,internal_medicine,>=5_years,low,1,1,Full GDT
V007,gdt,16.83,1,1,137.25,28.2,20.92,5.08,20.38,83.75,24.59,14.48,1,hospital_medicine,>=5_years,low,0,1,Full GDT
V007,cma,17.67,1,1,144.68,31.23,28.02,12.87,27.4,82.51,25.01,11.57,2,hospital_medicine,>=5_years,low,0,1,Full GDT
V007,bm25,21.55,1,1,197.23,39.68,40.49,10.08,45.35,74.76,38.33,29.11,3,hospital_medicine,>=5_years,low,0,0,Full GDT
V007,control,21.52,1,1,216.56,38.86,41.61,6.27,40.94,71.88,45.77,26.71,4,hospital_medicine,>=5_years,low,0,0,Full GDT
V008,control,91.3,1,4,182.1,51.07,69.41,8.66,69.81,54.5,70.41,33.62,1,internal_medicine,>=5_years,high,2,0,Full GDT
V008,bm25,89.08,1,4,196.64,55.75,69.78,22.25,66.31,61.09,67.37,47.71,2,internal_medicine,>=5_years,high,2,0,Full GDT
V008,gdt,77.13,1,4,127.79,42.51,60.48,16.44,47.02,61.21,43.83,26.06,3,internal_medicine,>=5_years,high,2,1,Full GDT
V008,cma,81.79,1,4,136.6,44.44,54.56,19.42,43.97,56.44,58.25,34.01,4,internal_medicine,>=5_years,high,2,1,Full GDT
V009,bm25,140.84,0,1,205.82,59.78,78.73,20.99,81.21,49.44,79.64,48.64,1,internal_medicine,>=5_years,low,0,0,Full GDT
V009,control,21.76,1,1,192.23,41.13,49.54,19.22,46.55,69.18,44.53,17.78,2,internal_medicine,>=5_years,low,0,0,Full GDT
V009,cma,15.98,1,1,154.46,28.14,25.28,4.54,27.22,72.96,21.01,17.83,3,internal_medicine,>=5_years,low,0,1,Full GDT
V009,gdt,19.14,1,1,126.69,32.1,27.33,8.27,32.13,85.64,30.33,8.89,4,internal_medicine,>=5_years,low,0,1,Full GDT
V010,bm25,46.77,1,2,192.73,44.78,52.58,19.08,46.5,63.67,52.68,34.18,1,emergency,>=5_years,low,0,0,Full GDT
V010,control,46.74,1,2,192.0,46.46,51.06,17.72,53.4,74.27,51.56,30.72,2,emergency,>=5_years,low,0,0,Full GDT
V010,cma,42.2,1,2,140.97,37.37,43.81,18.27,33.24,78.21,33.02,17.69,3,emergency,>=5_years,low,0,1,Full GDT
V010,gdt,38.22,1,2,115.89,33.35,36.17,8.62,26.47,83.58,31.41,13.85,4,emergency,>=5_years,low,0,1,Full GDT
V011,control,64.12,1,3,185.43,50.97,63.59,19.46,63.25,61.95,63.95,33.63,1,hospital_medicine,<5_years,low,1,0,Full GDT
V011,cma,60.99,1,3,148.12,36.5,41.18,9.67,44.32,60.62,41.33,21.9,2,hospital_medicine,<5_years,low,1,1,Full GDT
