variant,condition,arm,metric,control_mean,bm25_mean,pct_change,cma_mean,gdt_mean
Full GDT,bm25,BM25,time_to_info,58.694,68.789,17.2,,
Full GDT,bm25,BM25,accuracy,1.0,0.9,-10.0,,
Full GDT,bm25,BM25,cognitive_load,46.921,48.918,4.26,,
Full GDT,bm25,BM25,latency_ms,189.494,191.058,0.83,,
Full GDT,cma,CMA,time_to_info,58.694,,-12.61,51.296,
Full GDT,cma,CMA,accuracy,1.0,,0.0,1.0,
Full GDT,cma,CMA,cognitive_load,46.921,,-17.86,38.541,
Full GDT,cma,CMA,latency_ms,189.494,,-22.8,146.287,
Full GDT,gdt,GDT,time_to_info,58.694,,-16.85,,48.803
Full GDT,gdt,GDT,accuracy,1.0,,0.0,,1.0
Full GDT,gdt,GDT,cognitive_load,46.921,,-24.68,,35.343
Full GDT,gdt,GDT,latency_ms,189.494,,-33.03,,126.899
GSI only,bm25,BM25,time_to_info,58.527,69.099,18.06,,
GSI only,bm25,BM25,accuracy,1.0,0.9,-10.0,,
GSI only,bm25,BM25,cognitive_load,46.967,48.444,3.15,,
GSI only,bm25,BM25,latency_ms,188.373,192.261,2.06,,
GSI only,cma,CMA,time_to_info,58.527,,-14.4,50.097,
GSI only,cma,CMA,accuracy,1.0,,0.0,1.0,
GSI only,cma,CMA,cognitive_load,46.967,,-18.11,38.463,
GSI only,cma,CMA,latency_ms,188.373,,-20.97,148.865,
GSI only,gdt,GDT,time_to_info,58.527,,-17.86,,48.075
GSI only,gdt,GDT,accuracy,1.0,,0.0,,1.0
GSI only,gdt,GDT,cognitive_load,46.967,,-22.64,,36.334
GSI only,gdt,GDT,latency_ms,188.373,,-32.58,,127.01
JEPA only,bm25,BM25,time_to_info,57.666,68.947,19.56,,
JEPA only,bm25,BM25,accuracy,1.0,0.9,-10.0,,
JEPA only,bm25,BM25,cognitive_load,46.661,48.632,4.23,,
JEPA only,bm25,BM25,latency_ms,187.886,190.869,1.59,,
JEPA only,cma,CMA,time_to_info,57.666,,-9.76,52.038,
JEPA only,cma,CMA,accuracy,1.0,,0.0,1.0,
JEPA only,cma,CMA,cognitive_load,46.661,,-17.73,38.386,
JEPA only,cma,CMA,latency_ms,187.886,,-22.64,145.342,
JEPA only,gdt,GDT,time_to_info,57.666,,-15.3,,48.842
JEPA only,gdt,GDT,accuracy,1.0,,0.0,,1.0
JEPA only,gdt,GDT,cognitive_load,46.661,,-23.76,,35.572
JEPA only,gdt,GDT,latency_ms,187.886,,-33.46,,125.024
