vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,72.32,1,3,176.07,48.37,62.49,16.73,58.87,59.64,59.82,32.68,1,emergency,>=5_years,low,0,0
V002,control,72.25,1,3,174.21,48.5,63.81,10.65,58.73,58.94,59.23,39.66,1,internal_medicine,<5_years,low,2,0
V003,control,73.47,1,3,191.48,51.57,63.43,23.54,57.76,67.0,57.84,39.84,1,internal_medicine,<5_years,low,2,0
V004,control,92.08,1,4,194.64,55.27,68.04,17.78,67.81,59.81,78.87,39.34,1,critical_care,<5_years,high,3,0
V005,control,72.26,1,3,176.83,49.13,60.29,18.89,64.64,57.57,61.29,32.14,3,emergency,<5_years,low,2,0
V006,control,64.09,1,3,211.86,49.36,60.42,25.01,61.08,63.64,53.95,32.08,2,internal_medicine,<5_years,low,2,0
V007,control,116.15,1,5,190.38,56.02,76.15,13.84,80.06,42.75,74.09,49.24,2,emergency,>=5_years,high,4,0
V008,control,88.74,1,4,190.51,52.18,72.36,18.88,67.99,48.91,66.09,38.83,3,emergency,>=5_years,high,0,0
V009,control,68.22,1,3,180.76,45.98,57.1,10.41,61.6,55.85,56.72,34.22,3,hospital_medicine,<5_years,low,2,0
V010,control,111.31,1,5,187.38,56.82,76.22,19.63,72.59,50.5,79.11,42.9,2,emergency,<5_years,high,4,0
V011,control,124.52,1,5,187.66,63.46,89.44,27.75,85.3,44.95,84.12,49.21,1,emergency,>=5_years,high,4,0
V012,control,70.26,1,3,203.2,48.64,61.98,13.91,59.35,63.03,60.56,33.03,2,critical_care,>=5_years,low,2,0
V013,control,94.22,1,4,201.09,54.26,68.26,15.62,68.3,58.73,74.23,40.39,2,hospital_medicine,<5_years,high,3,0
V014,control,65.02,1,3,202.76,47.87,60.85,19.57,54.12,58.37,65.07,29.25,3,hospital_medicine,>=5_years,low,2,0
V015,control,107.62,1,5,204.08,58.42,79.51,22.83,76.91,48.19,75.63,47.44,3,internal_medicine,<5_years,high,4,0
V016,control,72.06,1,3,184.77,50.46,62.99,17.28,61.33,55.83,64.78,40.57,3,hospital_medicine,>=5_years,low,0,0
V017,control,116.34,1,5,187.44,59.94,82.46,16.95,75.54,51.31,79.53,53.83,2,emergency,>=5_years,high,0,0
