vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,118.2,1,5,178.85,57.7,81.27,17.72,80.77,50.64,75.66,40.15,1,internal_medicine,>=5_years,high,4,0
V002,control,114.53,1,5,178.88,60.24,79.48,24.39,72.57,54.52,77.01,53.49,1,emergency,<5_years,high,4,0
V003,control,101.05,1,4,190.17,57.79,72.38,27.18,67.16,55.32,76.05,48.64,1,emergency,>=5_years,high,3,0
V004,control,92.08,1,4,194.64,55.27,68.04,17.78,67.81,59.81,78.87,39.34,1,emergency,<5_years,high,3,0
V005,control,72.26,1,3,176.83,49.13,60.29,18.89,64.64,57.57,61.29,32.14,3,hospital_medicine,<5_years,low,2,0
V006,control,117.83,1,5,205.59,58.01,77.92,18.67,78.96,42.44,82.52,47.54,2,internal_medicine,<5_years,high,4,0
V007,control,94.6,1,4,186.55,52.01,76.52,16.6,63.05,46.03,72.83,37.04,2,critical_care,<5_years,high,3,0
V008,control,111.85,1,5,191.33,57.79,81.51,15.11,73.85,46.56,79.67,50.06,3,internal_medicine,<5_years,high,4,0
V009,control,68.22,1,3,180.76,45.98,57.1,10.41,61.6,55.85,56.72,34.22,3,hospital_medicine,>=5_years,low,2,0
V010,control,90.64,1,4,187.19,51.9,71.63,14.57,63.48,53.07,65.61,43.01,2,critical_care,<5_years,high,3,0
V001,bm25,118.4,1,5,210.45,64.4,93.9,29.26,83.3,52.53,80.55,46.84,3,internal_medicine,>=5_years,high,4,0
V002,bm25,114.13,1,5,184.98,56.16,77.23,22.79,76.76,44.47,72.66,43.04,2,emergency,<5_years,high,4,0
V003,bm25,100.7,1,4,183.71,54.99,73.16,13.11,72.09,55.89,72.44,43.25,3,emergency,>=5_years,high,3,0
V004,bm25,98.48,1,4,185.84,53.23,72.6,14.57,65.98,55.24,67.61,43.41,2,emergency,<5_years,high,3,0
V005,bm25,69.38,1,3,172.68,47.96,61.28,16.75,57.72,62.29,58.8,30.91,2,hospital_medicine,<5_years,low,2,0
V006,bm25,124.03,1,5,186.98,59.2,83.82,20.75,77.4,43.92,81.24,48.08,3,internal_medicine,<5_years,high,4,0
V007,bm25,91.96,1,4,179.9,54.8,76.07,21.61,63.06,56.68,72.49,38.9,1,critical_care,<5_years,high,3,0
V008,bm25,112.44,1,5,193.59,59.99,80.81,27.85,75.06,48.36,76.19,51.7,2,internal_medicine,<5_years,high,4,0
V009,bm25,60.24,1,3,184.96,48.84,57.04,17.59,54.44,73.02,52.27,38.69,2,hospital_medicine,>=5_years,low,2,0
V010,bm25,96.59,1,4,189.63,57.09,73.29,24.11,77.9,53.92,67.49,45.86,3,critical_care,<5_years,high,3,0
V001,cma,98.11,1,5,141.59,46.96,62.36,20.62,52.15,60.26,57.12,29.23,2,internal_medicine,>=5_years,high,4,1
V002,cma,100.92,1,5,146.96,47.56,59.23,18.87,55.66,57.72,61.39,32.51,3,emergency,<5_years,high,4,1
V003,cma,77.47,1,4,139.19,46.09,46.62,22.1,54.03,64.54,55.6,33.63,2,emergency,>=5_years,high,3,1
V004,cma,85.16,1,4,133.21,46.85,59.15,15.1,53.88,66.0,54.45,32.52,3,emergency,<5_years,high,3,1
V005,cma,57.13,1,3,140.04,40.9,42.71,12.42,44.39,68.4,56.67,20.81,1,hospital_medicine,<5_years,low,2,1
V006,cma,98.63,1,5,148.67,49.19,61.42,15.79,55.89,58.03,70.78,33.21,1,internal_medicine,<5_years,high,4,1
V007,cma,78.56,1,4,150.94,45.69,54.9,11.51,50.95,68.09,56.5,32.22,3,critical_care,<5_years,high,3,1
V008,cma,102.17,1,5,150.97,48.99,60.62,17.37,55.71,62.58,62.58,35.08,1,internal_medicine,<5_years,high,4,1
V009,cma,61.23,1,3,157.33,43.56,46.78,14.78,53.53,79.31,42.76,24.23,1,hospital_medicine,>=5_years,low,2,1
V010,cma,79.43,1,4,132.98,44.12,51.46,14.59,49.65,65.79,47.27,35.97,1,critical_care,<5_years,high,3,1
