vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,26.67,1,1,177.55,38.26,47.12,12.84,32.1,70.19,41.74,25.6,1,emergency,<5_years,low,0,0
V002,control,91.22,1,4,185.99,52.57,70.27,18.77,63.74,55.87,69.07,37.68,2,internal_medicine,<5_years,high,2,0
V003,control,65.67,1,3,185.29,48.22,56.29,16.21,49.38,68.02,62.83,36.61,2,critical_care,>=5_years,low,0,0
V004,control,46.45,1,2,149.9,46.2,54.24,20.61,51.63,68.6,52.43,29.71,3,emergency,<5_years,low,0,0
V005,control,23.14,1,1,172.02,38.85,40.1,18.75,39.58,69.19,38.42,27.08,3,critical_care,<5_years,low,0,0
V006,control,64.09,1,3,211.86,49.36,60.42,25.01,61.08,63.64,53.95,32.08,2,internal_medicine,>=5_years,low,1,0
V007,control,22.32,1,1,179.15,38.09,42.21,12.02,35.16,69.66,41.55,27.95,1,hospital_medicine,>=5_years,low,0,0
V008,control,95.87,1,4,198.49,53.63,72.71,16.92,64.56,52.92,66.49,48.18,1,internal_medicine,>=5_years,high,2,0
V009,control,22.11,1,1,182.35,36.06,43.82,0.0,38.22,68.86,38.83,26.64,2,internal_medicine,>=5_years,low,0,0
V010,control,41.71,1,2,196.69,41.39,51.8,8.35,50.68,64.92,49.42,23.17,4,emergency,>=5_years,low,0,0
V011,control,75.9,1,3,178.02,51.44,64.24,20.23,69.11,58.86,57.8,38.4,4,hospital_medicine,<5_years,low,1,0
V012,control,48.86,1,2,200.43,44.62,55.04,13.94,52.99,68.32,49.46,27.95,3,critical_care,>=5_years,low,0,0
V013,control,94.22,1,4,201.09,54.26,68.26,15.62,68.3,58.73,74.23,40.39,2,emergency,>=5_years,high,0,0
V014,control,86.64,1,4,185.34,51.74,73.44,18.25,63.5,51.93,65.95,37.36,1,internal_medicine,<5_years,high,2,0
V015,control,45.31,1,2,185.94,46.55,54.07,15.31,50.86,68.28,55.01,35.76,1,hospital_medicine,>=5_years,low,1,0
V016,control,20.32,1,1,196.71,40.6,42.14,19.6,41.2,72.26,40.6,27.79,1,hospital_medicine,<5_years,low,0,0
V017,control,68.93,1,3,192.06,49.46,56.1,16.14,63.31,63.98,54.96,42.28,1,internal_medicine,>=5_years,high,2,0
V018,control,46.51,1,2,185.86,42.47,47.57,16.23,52.79,63.49,46.99,27.72,4,critical_care,<5_years,low,1,0
V019,control,118.57,1,5,181.67,57.69,87.22,18.99,69.48,47.78,77.45,45.22,4,critical_care,<5_years,high,0,0
V020,control,110.82,1,5,201.56,60.15,82.89,18.98,78.56,52.07,77.76,50.64,3,internal_medicine,<5_years,high,1,0
V021,control,22.76,1,1,156.09,36.72,41.48,12.77,32.2,70.65,40.24,22.99,1,emergency,>=5_years,low,0,0
V022,control,67.74,1,3,194.04,48.42,54.81,17.51,51.75,60.94,61.78,43.73,2,internal_medicine,>=5_years,low,0,0
V023,control,112.67,1,5,200.77,60.47,82.4,20.36,75.85,52.26,84.74,47.18,2,hospital_medicine,>=5_years,high,2,0
V024,control,24.43,1,1,190.23,38.47,44.71,10.95,42.93,75.11,38.6,18.53,4,hospital_medicine,>=5_years,low,0,0
V025,control,56.51,1,2,181.14,45.27,57.73,15.31,54.74,63.1,55.98,24.76,1,hospital_medicine,>=5_years,low,0,0
V026,control,93.59,1,4,178.15,52.28,74.22,17.43,66.42,51.74,70.03,33.85,1,emergency,>=5_years,high,1,0
V027,control,21.31,1,1,150.52,39.22,39.96,7.92,44.73,73.78,42.46,26.48,2,emergency,>=5_years,low,0,0
V028,control,73.94,1,3,173.48,50.04,58.63,21.19,68.19,55.52,63.77,32.95,3,hospital_medicine,>=5_years,high,2,0
V029,control,20.71,1,1,186.84,39.09,43.42,13.75,42.41,71.44,40.86,22.63,1,hospital_medicine,<5_years,low,0,0
V030,control,45.14,1,2,181.26,43.88,45.51,17.64,51.62,70.68,50.73,27.12,3,internal_medicine,>=5_years,low,0,0
V001,bm25,19.87,1,1,171.41,38.06,46.29,8.95,35.07,71.23,40.14,26.68,4,emergency,<5_years,low,0,0
V002,bm25,94.0,1,4,193.91,55.46,65.77,16.96,78.44,52.89,73.89,44.81,4,internal_medicine,<5_years,high,2,0
V003,bm25,72.15,1,3,185.69,49.97,61.13,24.67,58.23,53.24,62.45,40.08,3,critical_care,>=5_years,low,0,0
V004,bm25,44.45,1,2,193.58,42.72,49.95,5.18,47.75,70.97,51.25,31.22,4,emergency,<5_years,low,0,0
V005,bm25,23.16,1,1,202.88,36.52,34.7,8.09,34.67,76.07,40.37,25.2,2,critical_care,<5_years,low,0,0
V006,bm25,69.78,1,3,185.9,50.87,60.97,25.15,61.07,63.71,59.62,34.71,3,internal_medicine,>=5_years,low,1,0
V007,bm25,21.84,1,1,181.32,40.09,47.85,19.49,38.27,68.77,41.77,24.39,4,hospital_medicine,>=5_years,low,0,0
V008,bm25,88.83,1,4,185.54,49.65,68.42,11.17,66.29,51.71,64.5,35.8,4,internal_medicine,>=5_years,high,2,0
V009,bm25,126.45,0,1,187.34,58.72,73.99,25.78,76.28,57.08,71.0,48.2,4,internal_medicine,>=5_years,low,0,0
V010,bm25,43.43,1,2,189.13,42.94,50.11,10.51,49.42,71.77,50.11,25.72,2,emergency,>=5_years,low,0,0
V011,bm25,70.95,1,3,188.49,52.85,65.79,22.83,55.88,65.25,65.45,41.9,1,hospital_medicine,<5_years,low,1,0
V012,bm25,48.38,1,2,221.31,43.11,52.94,14.67,47.19,65.57,46.53,31.78,4,critical_care,>=5_years,low,0,0
V013,bm25,93.91,1,4,184.83,53.61,72.63,12.21,65.28,49.24,78.28,44.01,1,emergency,>=5_years,high,0,0
V014,bm25,99.42,1,4,201.12,51.87,72.84,20.47,67.56,45.74,61.52,43.08,2,internal_medicine,<5_years,high,2,0
V015,bm25,41.85,1,2,191.02,44.7,51.95,12.74,56.31,68.51,55.55,23.11,3,hospital_medicine,>=5_years,low,1,0
V016,bm25,21.58,1,1,191.69,39.39,38.25,11.7,41.2,79.35,40.68,25.19,3,hospital_medicine,<5_years,low,0,0
V017,bm25,68.48,1,3,171.8,50.08,66.87,14.93,60.74,61.81,62.51,33.63,3,internal_medicine,>=5_years,high,2,0
V018,bm25,150.89,0,2,186.85,61.85,85.72,27.34,86.88,40.34,76.66,54.15,2,critical_care,<5_years,low,1,0
V019,bm25,115.71,1,5,192.06,59.6,87.33,22.42,73.11,46.18,78.78,49.76,2,critical_care,<5_years,high,0,0
V020,bm25,122.76,1,5,185.04,62.66,78.76,27.25,79.99,51.63,79.46,58.84,2,internal_medicine,<5_years,high,1,0
V021,bm25,22.34,1,1,188.63,39.5,45.33,10.87,42.47,73.06,36.82,28.44,2,emergency,>=5_years,low,0,0
V022,bm25,65.54,1,3,193.12,49.59,68.98,12.25,63.1,63.91,52.9,36.4,1,internal_medicine,>=5_years,low,0,0
V023,bm25,116.4,1,5,206.81,62.2,83.82,30.65,80.36,48.5,79.58,50.28,4,hospital_medicine,>=5_years,high,2,0
