vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,95.32,1,4,177.96,54.49,71.96,19.08,67.71,49.58,73.13,45.5,1,critical_care,>=5_years,high,0,0
V002,control,72.25,1,3,174.21,48.5,63.81,10.65,58.73,58.94,59.23,39.66,1,critical_care,>=5_years,low,0,0
V003,control,129.14,1,5,187.29,63.45,82.55,25.62,85.3,50.38,85.53,51.34,1,emergency,<5_years,high,4,0
V004,control,114.36,1,5,189.69,60.55,81.11,26.94,86.34,45.9,77.29,45.74,1,emergency,<5_years,high,4,0
V005,control,72.26,1,3,176.83,49.13,60.29,18.89,64.64,57.57,61.29,32.14,3,internal_medicine,<5_years,low,2,0
V006,control,117.83,1,5,205.59,58.01,77.92,18.67,78.96,42.44,82.52,47.54,2,emergency,>=5_years,high,4,0
V007,control,94.6,1,4,186.55,52.01,76.52,16.6,63.05,46.03,72.83,37.04,2,hospital_medicine,>=5_years,high,0,0
V008,control,66.63,1,3,190.68,47.9,61.96,14.67,59.67,61.21,60.35,29.53,3,hospital_medicine,<5_years,low,2,0
V009,control,88.06,1,4,177.08,51.86,73.56,13.79,63.64,53.43,69.24,37.51,3,internal_medicine,<5_years,high,0,0
V010,control,64.69,1,3,186.27,47.51,61.3,20.6,57.69,57.15,54.61,33.72,2,critical_care,>=5_years,low,2,0
V011,control,124.52,1,5,187.66,63.46,89.44,27.75,85.3,44.95,84.12,49.21,1,internal_medicine,<5_years,high,0,0
V012,control,91.78,1,4,198.51,52.43,71.9,21.73,67.99,51.07,62.08,39.8,2,emergency,<5_years,high,0,0
V013,control,71.93,1,3,205.87,48.74,63.03,15.45,55.43,56.35,60.64,41.53,2,hospital_medicine,<5_years,low,2,0
V014,control,111.55,1,5,193.44,58.6,86.66,15.12,73.32,52.37,76.43,47.71,3,emergency,<5_years,high,4,0
V015,control,64.42,1,3,191.2,50.04,68.61,16.97,63.56,54.89,59.04,37.19,3,hospital_medicine,<5_years,low,0,0
V016,control,116.2,1,5,187.01,61.02,85.64,25.49,76.25,50.42,78.64,49.69,3,internal_medicine,<5_years,high,0,0
V017,control,116.34,1,5,187.44,59.94,82.46,16.95,75.54,51.31,79.53,53.83,2,hospital_medicine,<5_years,high,0,0
V018,control,116.94,1,5,183.97,62.05,91.37,19.19,83.03,50.37,81.75,46.6,1,internal_medicine,<5_years,high,0,0
V019,control,115.71,1,5,192.06,59.6,87.33,22.42,73.11,46.18,78.78,49.76,2,emergency,<5_years,high,4,0
V020,control,98.25,1,4,184.06,56.48,74.34,21.97,64.61,58.09,71.85,48.01,2,emergency,>=5_years,high,3,0
V021,control,112.07,1,5,166.03,57.22,77.48,16.9,70.53,51.61,77.78,49.05,1,emergency,<5_years,high,4,0
V022,control,91.44,1,4,184.89,54.43,64.99,19.08,69.91,62.33,69.52,40.74,2,internal_medicine,<5_years,high,3,0
V023,control,63.44,1,3,181.84,51.6,64.11,20.94,69.07,61.46,59.94,34.09,2,critical_care,>=5_years,low,0,0
V024,control,82.45,1,4,199.81,51.67,66.93,13.27,67.27,55.79,68.46,38.31,3,internal_medicine,<5_years,high,3,0
V025,control,112.46,1,5,188.66,58.47,79.17,22.77,83.44,41.42,77.61,46.43,3,critical_care,>=5_years,high,0,0
V026,control,67.96,1,3,196.14,48.6,57.56,16.82,52.09,65.93,63.63,35.58,2,critical_care,<5_years,low,2,0
V027,control,118.35,1,5,195.51,62.79,88.87,28.28,75.34,47.42,84.28,52.55,3,emergency,>=5_years,high,0,0
V028,control,73.94,1,3,173.48,50.04,58.63,21.19,68.19,55.52,63.77,32.95,3,internal_medicine,>=5_years,low,0,0
V029,control,78.91,1,3,195.79,51.07,64.7,25.69,53.73,53.35,67.57,41.4,3,internal_medicine,>=5_years,low,2,0
V030,control,64.85,1,3,174.76,53.12,65.98,16.3,61.79,73.8,58.51,42.37,2,critical_care,>=5_years,low,2,0
V031,control,122.15,1,5,200.05,60.14,85.35,24.68,79.36,44.15,80.5,46.8,2,emergency,<5_years,high,0,0
V032,control,69.62,1,3,176.08,46.12,50.68,13.66,60.08,60.07,63.95,28.29,2,internal_medicine,<5_years,low,0,0
V033,control,119.57,1,5,183.83,57.14,80.77,23.43,76.8,39.74,81.78,40.33,3,critical_care,<5_years,high,0,0
V034,control,82.21,1,3,186.3,53.83,74.59,16.42,65.67,56.94,65.25,44.12,1,critical_care,<5_years,low,0,0
V035,control,94.34,1,4,187.18,54.67,77.76,16.49,63.2,55.4,71.7,43.45,3,hospital_medicine,<5_years,high,3,0
V036,control,92.7,1,4,178.46,54.87,77.63,23.1,69.1,47.46,73.7,38.23,2,emergency,<5_years,high,3,0
V037,control,64.34,1,3,177.66,45.1,60.35,14.62,51.37,55.89,51.49,36.85,2,hospital_medicine,>=5_years,low,2,0
V038,control,64.6,1,3,166.87,45.75,55.71,18.31,54.17,57.46,54.11,34.74,2,emergency,<5_years,low,2,0
V039,control,84.4,1,4,198.83,50.03,61.81,14.49,57.37,57.73,67.31,41.48,2,critical_care,>=5_years,high,0,0
V040,control,110.13,1,5,188.5,59.98,83.99,18.64,83.5,45.27,81.53,46.96,2,emergency,<5_years,high,4,0
V041,control,118.41,1,5,192.9,59.59,88.32,22.13,75.96,43.25,81.23,46.65,2,internal_medicine,<5_years,high,0,0
